21.11.2024, 08:35
Project Statistics

                 	Segments	 Words	Characters (w/o spaces)	Characters (w/ spaces)	#Files	
Total:           	    2686	422141	                3352889	               3525975	   158	
Remaining:       	    2685	421943	                3351478	               3524484	   157	
Unique:          	    2653	422002	                3352159	               3525135	   157	
Unique Remaining:	    2652	421804	                3350748	               3523644	   156	


Individual File Statistics:

File Name                                          	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (w/o spaces)	Remaining Characters (w/o spaces)	Unique Characters (w/o spaces)	Unique Remaining Characters (w/o spaces)	Total Characters (w/ spaces)	Remaining Characters (w/ spaces)	Unique Characters (w/ spaces)	Unique Remaining Characters (w/ spaces)	
books/book_manuscript_drawbridgeLog.2812.txt       	            21	                21	             13	                       13	        111	            111	         103	                   103	                          533	                              533	                           501	                                     501	                         623	                             623	                          591	                                    591	
books/book_printed_minstrelsFlight.2439.txt        	            13	                13	             13	                       13	        309	            309	         309	                   309	                         1397	                             1397	                          1397	                                    1397	                        1693	                            1693	                         1693	                                   1693	
books/book_printed_crosstailHearts.3067.txt        	            12	                12	             12	                       12	        195	            195	         195	                   195	                          918	                              918	                           918	                                     918	                        1095	                            1095	                         1095	                                   1095	
books/paper_printed_obelisks.3276.txt              	            10	                10	             10	                       10	        177	            177	         177	                   177	                          800	                              800	                           800	                                     800	                         952	                             952	                          952	                                    952	
dialogs/dialog_guard_squadLeader.3451.txt          	            10	                10	             10	                       10	       2829	           2829	        2829	                  2829	                        23675	                            23675	                         23675	                                   23675	                       24722	                           24722	                        24722	                                  24722	
books/book_manuscript_prisonerLog.2431.txt         	             9	                 9	              9	                        9	         99	             99	          99	                    99	                          481	                              481	                           481	                                     481	                         559	                             559	                          559	                                    559	
books/book_printed_unquietWaters.2647.txt          	             9	                 9	              9	                        9	        165	            165	         165	                   165	                          782	                              782	                           782	                                     782	                         938	                             938	                          938	                                    938	
dialogs/dialog_guard_offDutyB.3333.txt             	             9	                 9	              9	                        9	       2342	           2342	        2342	                  2342	                        18822	                            18822	                         18822	                                   18822	                       19681	                           19681	                        19681	                                  19681	
books/page_flowers_1.2473.txt                      	             8	                 8	              8	                        8	        105	            105	         105	                   105	                          432	                              432	                           432	                                     432	                         530	                             530	                          530	                                    530	
books/page_flowers_17.2618.txt                     	             7	                 7	              7	                        7	         81	             81	          81	                    81	                          365	                              365	                           365	                                     365	                         440	                             440	                          440	                                    440	
